"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"89","NRI_P022",0.75608870298527,0.425693880431869,"Exp",-0.820460371472335,-0.75852142014598,-0.136575481585022,1,-0.576022579967625,-0.201204369592445,-0.102041271548161
"90","NRI_P023",-1.01189921868406,-0.814182409262591,"Exp",1.34075231435717,0.432374948081491,-2.26951024654322,1,-0.612003367551718,-0.301491810355077,-0.277766981377848
"91","NRI_P024",0.733652308040227,0.464775866804471,"Prm",-0.730409842896104,-0.768758351678021,-0.136575481585022,1,-0.405650411702157,-0.32926029544175,-0.169957640192324
"92","NRI_P025",0.105433249579044,-0.849799497898486,"Exp",0.080044914289959,-0.239850222522555,-0.245505496683791,1,-0.586524581789611,-0.168411093768557,-0.332966385094229
"93","NRI_P027",0.666343123205101,0.586657838887498,"Sec",-0.640359314319877,-0.75852142014598,1.19629966805361,1,-0.670333788551561,0.14553662996672,-0.0476386577749148
"94","NRI_P028",-1.06125928756315,-1.00164455126669,"Prm",1.16065125720471,0.490384226763058,-0.245505496683791,1,-0.570592584892624,-0.208517871213186,-0.158103495847027
"95","NRI_P029",-0.971513707782985,-0.00266237759786594,"Exp",1.07060072862848,0.428962637570811,-0.245505496683791,1,-0.28871851060211,-0.27756295701818,0.188191834143745
"96","NRI_P030",0.823397887820396,0.677676853570883,"Exp",-0.820460371472335,-0.850653803934351,-0.136575481585022,1,0.0883699615381721,-0.358184784700518,-0.360954814190345
"97","NRI_P031",-0.428552950112962,-1.54144741797796,"Prm",0.440247028594878,0.125267002120252,-0.245505496683791,1,-0.38741807155899,-0.230001229446069,-0.108867628550228
"98","NRI_P032",0.836859724787422,0.533580894649287,"Prm",-1.00056142862479,-0.775582972699382,-0.136575481585022,1,0.63715693818596,-0.362639773933631,-0.272322732771161
"99","NRI_P033",-1.57280909231012,-0.590608555556629,"Prm",1.07060072862848,0.521095021359182,0.0483289361570643,1,-0.501501644731558,0.457697993768866,-0.219634501132917
"100","NRI_P034",0.993914489402718,-0.346404270542737,"Prm",-0.820460371472335,0.473322674209656,-0.245505496683791,1,1.28090436763083,-0.36435398116276,-0.184277856389979
"101","NRI_P035",0.706728634106177,0.885228301639146,"Prm",-0.820460371472335,-0.942786187722723,-0.136575481585022,1,-0.351324521345358,-0.169583936859148,-0.235546783003897
"102","NRI_P036",0.688779518150143,0.532569665185412,"Prm",-0.730409842896104,-0.813118388316866,-0.136575481585022,1,-0.385303334273984,0.0718011988849093,-0.149097954566579
"103","NRI_P037",0.693266797139151,0.48672191176245,"Prm",-0.640359314319877,-0.826767630359588,-0.136575481585022,1,0.145011510835207,-0.234972048259025,-0.281214203347448
"104","NRI_P038",0.558648427468898,0.381899869704143,"Sec",-0.370207728591188,-0.939373877212043,-0.136575481585022,1,0.126314208700313,-0.354782658879322,-0.285001647243318
"105","NRI_P039",0.648394007249067,0.402666428889415,"Prm",-0.550308785743646,-0.874539977509114,-0.136575481585022,1,0.588221777604879,-0.294037291242126,-0.185854356697534
"106","NRI_P040",0.75608870298527,1.20430583670607,"Prm",-0.640359314319877,-0.912075393126599,-0.136575481585022,1,1.9230892080807,-0.352889699263621,-0.271831617770653
"107","NRI_P041",0.688779518150143,0.34494011229745,"Prm",-0.550308785743646,-0.864303045977073,-0.136575481585022,1,0.262549371831942,-0.272106894340209,-0.188510669240743
"108","NRI_P042",0.742626866018244,0.395414493783675,"Prm",-0.640359314319877,-0.84041687240231,-0.136575481585022,NA,0.740376766163584,-0.249045242008068,-0.198660793735046
"109","NRI_P046",-1.06574656655216,-0.161356058033396,"Prm",0.890499671476025,0.991993871833082,2.54273910783674,1,-0.117909868013841,-0.321393240493646,-0.032414711386279
"110","NRI_P047",0.37915726790856,-0.416264493754324,"Prm",-0.370207728591188,0.435787258592171,-0.245505496683791,1,0.693164133345756,-0.364341121583918,-0.165571082731096
"111","NRI_P048",-0.208676279651548,-0.383733515184505,"Prm",0.260145971442417,-0.707336762485773,-0.245505496683791,1,-0.570210388747996,-0.314904604659882,-0.251376657847129
"112","NRI_P049",0.935579862545608,-1.02255822885382,"Prm",-0.730409842896104,-0.106770112606018,-0.136575481585022,1,-0.1889395318778,-0.299264573677671,-0.166966478139829
"113","NRI_P050",1.01635088434776,-1.33453010255287,"Sec",-1.09061195720102,0.251522491015428,-0.136575481585022,1,-0.682790878757823,-0.358262768882126,-0.158831825626727
"114","NRI_P051",-1.31703418993664,0.15250975630169,"Exp",1.34075231435717,1.29910181779432,-0.245505496683791,1,-0.457351703660691,-0.328344546460522,0.0631260353398546
"115","NRI_P052",1.21827843885314,1.53100733114966,"Prm",-0.910510900048562,-0.680038278400329,-0.136575481585022,1,0.614956820913114,-0.113694397622406,-0.41763991479665
"116","NRI_P053",0.913143467600566,1.20459500096002,"Exp",-0.820460371472335,-0.768758351678021,-0.136575481585022,1,1.0434739220578,-0.19977579976299,-0.257623287770257
